CD_CVM,DENOM_CIA,receita,ESCALA_MOEDA,lucro_liquido,setor
019100,CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,371753.0,MIL,-140758.0,Emp. Adm. Part. - Comunicação e Informática
027391,BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.,1051764.0,MIL,113594.0,"Construção Civil, Mat. Constr. e Decoração"
025925,BIONEXO S.A.,176858.0,MIL,-7629.0,Comunicação e Informática
019453,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,9872372.0,MIL,913451.0,Serviços Transporte e Logística
027324,VOKE S.A.,506909.0,MIL,22710.0,Emp. Adm. Part. - Comunicação e Informática
024740,COPEL GERAÇÃO E TRANSMISSÃO S.A.,4521519.0,MIL,1306964.0,Energia Elétrica
021237,ENEVA S.A,11387505.0,MIL,549472.0,Energia Elétrica
027693,BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,1427794.0,MIL,60794.0,Telecomunicações
027774,BTG PACTUAL COMMODITIES SERTRADING S.A.,15968815.0,MIL,292501.0,Comércio (Atacado e Varejo)
019305,BIOMM S.A.,142905.0,MIL,-77238.0,Farmacêutico e Higiene
020613,METALFRIO SOLUTIONS S.A.,2189092.0,MIL,-22573.0,"Máquinas, Equipamentos, Veículos e Peças"
026166,GRUPO FARTURA DE HORTIFRUT S.A.,2903190.0,MIL,83043.0,Comércio (Atacado e Varejo)
023221,SER EDUCACIONAL S.A.,1981354.0,MIL,-1162.0,Educação
024392,HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,28914698.0,MIL,-649376.0,Serviços Médicos
026301,UNIGEL PARTICIPAÇÕES S.A.,3148937.0,MIL,-1862564.0,
022357,ALLOS S.A.,2739848.0,MIL,811978.0,Emp. Adm. Part. - Comércio (Atacado e Varejo)
025895,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.,837881.0,MIL,28657.0,Comércio (Atacado e Varejo)
024821,REDE D'OR SÃO LUIZ S.A.,50571261.0,MIL,3934120.0,Serviços Médicos
019569,GOL LINHAS AEREAS INTELIGENTES S.A.,19129573.0,MIL,-6067103.0,
025410,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,9516148.0,MIL,522755.0,Comércio (Atacado e Varejo)
022608,EMPREENDIMENTOS PAGUE MENOS S.A.,12641825.0,MIL,103148.0,Comércio (Atacado e Varejo)
019909,BR MALLS PARTICIPACOES S.A.,1570387.0,MIL,677661.0,Emp. Adm. Part. - Comércio (Atacado e Varejo)
