NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Ano (Código),Ano,Variável (Código),Variável,Classificação Nacional de Atividades Econômicas (CNAE 2.0) (Código),Classificação Nacional de Atividades Econômicas (CNAE 2.0),Faixas de pessoal ocupado assalariado (Código),Faixas de pessoal ocupado assalariado
1,Brasil,2,%,73.96122,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116880,B Indústrias extrativas,9502,1 a 9 pessoas
1,Brasil,2,%,85.71429,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116880,B Indústrias extrativas,46281,10 a 49 pessoas
1,Brasil,2,%,100.00000,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116880,B Indústrias extrativas,73113,50 ou mais pessoas
1,Brasil,2,%,78.26045,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116910,C Indústrias de transformação,9504,Total
1,Brasil,2,%,76.64847,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116910,C Indústrias de transformação,9502,1 a 9 pessoas
1,Brasil,2,%,91.76529,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116910,C Indústrias de transformação,46281,10 a 49 pessoas
1,Brasil,2,%,91.07981,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116910,C Indústrias de transformação,73113,50 ou mais pessoas
1,Brasil,2,%,89.07563,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117296,D Eletricidade e gás,9504,Total
1,Brasil,2,%,88.18182,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117296,D Eletricidade e gás,9502,1 a 9 pessoas
1,Brasil,2,%,100.00000,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117296,D Eletricidade e gás,46281,10 a 49 pessoas
1,Brasil,2,%,100.00000,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117296,D Eletricidade e gás,73113,50 ou mais pessoas
1,Brasil,2,%,76.04871,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117307,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",9504,Total
1,Brasil,2,%,74.26810,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117307,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",9502,1 a 9 pessoas
1,Brasil,2,%,89.55224,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117307,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",46281,10 a 49 pessoas
1,Brasil,2,%,86.95652,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117307,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",73113,50 ou mais pessoas
1,Brasil,2,%,66.06810,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117329,F Construção,9504,Total
1,Brasil,2,%,63.84243,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117329,F Construção,9502,1 a 9 pessoas
1,Brasil,2,%,80.87432,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117329,F Construção,46281,10 a 49 pessoas
1,Brasil,2,%,88.15166,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117329,F Construção,73113,50 ou mais pessoas
1,Brasil,2,%,76.63558,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117363,G Comércio; reparação de veículos automotores e motocicletas,9504,Total
1,Brasil,2,%,75.83222,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117363,G Comércio; reparação de veículos automotores e motocicletas,9502,1 a 9 pessoas
1,Brasil,2,%,92.51633,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117363,G Comércio; reparação de veículos automotores e motocicletas,46281,10 a 49 pessoas
1,Brasil,2,%,93.15961,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117363,G Comércio; reparação de veículos automotores e motocicletas,73113,50 ou mais pessoas
1,Brasil,2,%,74.41082,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117484,"H Transporte, armazenagem e correio",9504,Total
1,Brasil,2,%,72.92969,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117484,"H Transporte, armazenagem e correio",9502,1 a 9 pessoas
1,Brasil,2,%,93.98773,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117484,"H Transporte, armazenagem e correio",46281,10 a 49 pessoas
1,Brasil,2,%,96.99248,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117484,"H Transporte, armazenagem e correio",73113,50 ou mais pessoas
1,Brasil,2,%,74.41365,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117543,I Alojamento e alimentação,9504,Total
1,Brasil,2,%,72.34555,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117543,I Alojamento e alimentação,9502,1 a 9 pessoas
1,Brasil,2,%,93.09672,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117543,I Alojamento e alimentação,46281,10 a 49 pessoas
1,Brasil,2,%,91.89189,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117543,I Alojamento e alimentação,73113,50 ou mais pessoas
1,Brasil,2,%,78.88588,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117555,J Informação e comunicação,9504,Total
1,Brasil,2,%,77.83821,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117555,J Informação e comunicação,9502,1 a 9 pessoas
1,Brasil,2,%,90.14493,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117555,J Informação e comunicação,46281,10 a 49 pessoas
1,Brasil,2,%,100.00000,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117555,J Informação e comunicação,73113,50 ou mais pessoas
1,Brasil,2,%,77.42857,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117608,"K Atividades financeiras, de seguros e serviços relacionados",9504,Total
1,Brasil,2,%,76.71439,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117608,"K Atividades financeiras, de seguros e serviços relacionados",9502,1 a 9 pessoas
1,Brasil,2,%,89.43089,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117608,"K Atividades financeiras, de seguros e serviços relacionados",46281,10 a 49 pessoas
1,Brasil,2,%,95.65217,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117608,"K Atividades financeiras, de seguros e serviços relacionados",73113,50 ou mais pessoas
1,Brasil,2,%,77.40061,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117666,L Atividades imobiliárias,9504,Total
1,Brasil,2,%,76.99143,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117666,L Atividades imobiliárias,9502,1 a 9 pessoas
1,Brasil,2,%,87.73585,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117666,L Atividades imobiliárias,46281,10 a 49 pessoas
1,Brasil,2,%,92.30769,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117666,L Atividades imobiliárias,73113,50 ou mais pessoas
1,Brasil,2,%,76.96591,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117673,"M Atividades profissionais, científicas e técnicas",9504,Total
1,Brasil,2,%,76.32663,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117673,"M Atividades profissionais, científicas e técnicas",9502,1 a 9 pessoas
1,Brasil,2,%,88.53821,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117673,"M Atividades profissionais, científicas e técnicas",46281,10 a 49 pessoas
1,Brasil,2,%,95.08197,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117673,"M Atividades profissionais, científicas e técnicas",73113,50 ou mais pessoas
1,Brasil,2,%,76.77384,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117714,N Atividades administrativas e serviços complementares,9504,Total
1,Brasil,2,%,74.39336,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117714,N Atividades administrativas e serviços complementares,9502,1 a 9 pessoas
1,Brasil,2,%,92.84116,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117714,N Atividades administrativas e serviços complementares,46281,10 a 49 pessoas
1,Brasil,2,%,90.39548,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117714,N Atividades administrativas e serviços complementares,73113,50 ou mais pessoas
1,Brasil,2,%,71.42857,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117774,"O Administração pública, defesa e seguridade social",9504,Total
1,Brasil,2,%,50.00000,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117774,"O Administração pública, defesa e seguridade social",9502,1 a 9 pessoas
1,Brasil,2,%,100.00000,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117774,"O Administração pública, defesa e seguridade social",46281,10 a 49 pessoas
1,Brasil,2,%,-,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117774,"O Administração pública, defesa e seguridade social",73113,50 ou mais pessoas
1,Brasil,2,%,81.53900,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117788,P Educação,9504,Total
1,Brasil,2,%,79.98822,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117788,P Educação,9502,1 a 9 pessoas
1,Brasil,2,%,93.97993,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117788,P Educação,46281,10 a 49 pessoas
1,Brasil,2,%,92.68293,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117788,P Educação,73113,50 ou mais pessoas
1,Brasil,2,%,85.20925,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117810,Q Saúde humana e serviços sociais,9504,Total
1,Brasil,2,%,84.95765,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117810,Q Saúde humana e serviços sociais,9502,1 a 9 pessoas
